A|ALIMENTÄRES SYSTEM UND STOFFWECHSEL||
A01AA01|Natriumfluorid|1,1 mg O 0.5 mg Fluorid|
A01AA03|Olaflur|1,1 mg O|
A01AB02|Wasserstoffperoxid|60 mg O|
A01AB33|Nystatin|500 000 IE O|
A06AA01|Dickflüssiges Paraffin|15 g O|
B03AA07|Eisen(II)sulfat|0,2 g O Fe2+|
B03AE10|Verschiedene Kombinationen||
D11AC03|Selen-haltige Verbindungen||
G03GA01|Choriongonadotrophin|7,5 TSD E P zur Ovulationsauslösung|
J01FA01|Erythromycin|1 g O; 2 g O Erythromycinethylsuccinat-Tabletten; 2 g P; 1 g O Kinder DDD für Erythromycinethylsuccinat-haltige Mittel|
N02BE01|Paracetamol|3 g O,P,R; 0,75 g O Kinder DDD; 0,375 g R Säuglings DDD; 0,75 g R Kinder DDD|
N05CP01|Baldrianwurzel|7 g O Droge; 6,5 ml O Tinktur|
N07BC02|Methadon|25 mg O,P|
S01EB02|Carbachol|0,4 ml|
S01EB06|Neostigmin|40 mg Salbe; 0,4 ml|
S01XA28|Hyaluronsäure|0,4 ml AT|
S01XC20|Kombinationen|Standarddosis: 0,4 ml AT; 0,4 g AS|
